	pielou_evenness
M1	0.3750920958537026
M10	0.6864564374593956
M11	0.5466100964101751
M12	0.4108924810291843
M13	0.5613234766286702
M14	0.34134928324772545
M15	0.5624853022732661
M16	0.2524610016423583
M17	0.4076248741392874
M18	0.6321730757565536
M19	0.5067357077426805
M2	0.3673809791717048
M20	0.4985227259592501
M21	0.4334170082749156
M22	0.45885908131122755
M23	0.5320814224769937
M24	0.3111737407981299
M25	0.4493044602536989
M26	0.36142567291734784
M27	0.4366227584359791
M28	0.38042024562770543
M3	0.4966824594309925
M4	0.3895184626281526
M5	0.638049877077535
M6	0.42276850987000414
M7	0.25515721240411643
M8	0.372042742426196
M9	0.4180477422596932
