	shannon_entropy
M1	2.7620233024190557
M10	4.51153479038226
M11	3.721701541368356
M12	3.2797792457197024
M13	4.34441338199001
M14	2.567373018308564
M15	4.049990331814279
M16	2.3888587105355907
M17	3.417767888056973
M18	4.246095326582565
M19	3.1876643092583454
M2	2.9337361150668277
M20	3.7605157947887506
M21	3.373478747248754
M22	3.6417713206395845
M23	3.8686225387861644
M24	2.4856727953408315
M26	2.9294453673301777
M27	3.752018495022259
M28	2.8506887470994458
M3	3.458619249811629
M4	2.597884934377885
M5	4.349944480407763
M6	3.1796174372148713
M7	2.13915935799594
M8	3.1936248391766635
M9	3.253605837119613
